tweet_id,keyword,text,created_at,user_id,username,name,followers,verified,likes,retweets,replies,hashtags,media_count,media_info,is_reply,is_retweet
2026141106996416997,timeline,https://t.co/S9U8e39g7M,Tue Feb 24 03:44:18 +0000 2026,866953267,,Cardi B,37093310,False,10770,1010,389,,1,"[{""type"": ""video"", ""url"": ""https://t.co/S9U8e39g7M""}]",False,False
2026035552399561058,timeline,"First of all, I don’t keep track of my agents investments… that’s none of my business. What I did do however was woke up to you including me in bullshit so I had to hop on the phone and do my research to see what your weird ass was talkin about. Second, why you not mentioning",Mon Feb 23 20:44:52 +0000 2026,866953267,,Cardi B,37093310,False,27059,2900,1536,,0,[],False,False
2026031691605668322,timeline,I’ma turn it up a notch.. stay tuned #LittleMissDramaTour https://t.co/DZxgkbjA3W,Mon Feb 23 20:29:31 +0000 2026,866953267,,Cardi B,37093310,False,20459,1645,815,LittleMissDramaTour,1,"[{""type"": ""video"", ""url"": ""https://t.co/DZxgkbjA3W""}]",False,False
2026022457132323178,timeline,"AHT AHT You involved me and disturbed me for no reason, ain’t no white man about to sit here and gaslight me like I’m crashing out when you should’ve left me tf alone. You wanna involve me so bad for what but don’t wanna talk about none of the facts. You wanna talk about",Mon Feb 23 19:52:50 +0000 2026,866953267,,Cardi B,37093310,False,25662,2046,1286,,0,[],False,False
2026015549277282329,timeline,"The fact of the matter is, so far every single show of mine has been sold out. Packed from top to bottom! They said I wasn’t gonna commit after I gave birth, they said I wasn’t gonna take it seriously, but I take it very seriously. I perform for two hours and don’t complain.. not https://t.co/YZVrxDVzWm",Mon Feb 23 19:25:23 +0000 2026,866953267,,Cardi B,37093310,False,56661,4802,1378,,1,"[{""type"": ""video"", ""url"": ""https://t.co/YZVrxDVzWm""}]",False,False
2026007860245594277,timeline,"Listen, you involved me in something that has nothing to do wit me so now we’re gonna talk about the facts.. Cyabra is a data company with a lot of investors like Mike G, customers like Elon Musk and Pepsi that use that company for data and even has Mike Pompeo on the board of",Mon Feb 23 18:54:49 +0000 2026,866953267,,Cardi B,37093310,False,81169,6473,1940,,0,[],False,False
2026007679613743431,timeline,RT @Mikegagent: Let’s be clear: my advisory role and investment in Cyabra  along with multiple other tech companies has absolutely nothing…,Mon Feb 23 18:54:06 +0000 2026,866953267,,Cardi B,37093310,False,0,846,0,,0,[],False,True
2025985071015252368,timeline,Y’all I’m just little clumsy cuz I be moving too fast and too hype. FUCK IT WE BALL.. but no seriously yesterday wasn’t even my fault 😭😭,Mon Feb 23 17:24:16 +0000 2026,866953267,,Cardi B,37093310,False,32658,1472,1022,,0,[],False,False
2025417840069623822,timeline,"RT @RogersArena: VANCOUVER = SOLD OUT 🚨

The Little Miss Drama Tour with @iamCardiB has officially packed Rogers Arena tonight. https://t.c…",Sun Feb 22 03:50:18 +0000 2026,866953267,,Cardi B,37093310,False,0,415,0,,0,[],False,True
2025387012077863412,timeline,You know what ? HELL YEEAAAAA !!!!,Sun Feb 22 01:47:48 +0000 2026,866953267,,Cardi B,37093310,False,31586,2065,326,,0,[],False,False
2025247109436334161,timeline,"Five shows back to back!! Listen, I’m being humble about it… don’t let me get on my cocky shi. Let’s just accept it!! It what it is https://t.co/QEKNOrn5pf",Sat Feb 21 16:31:52 +0000 2026,866953267,,Cardi B,37093310,False,25946,2302,893,,1,"[{""type"": ""photo"", ""url"": ""https://t.co/QEKNOrn5pf""}]",False,False
2025031818580312341,timeline,RT @BardiUpdatess: Live Nation has made an official statement confirming Cardi B has SOLD OUT her first five shows on the #LittleMissDramaT…,Sat Feb 21 02:16:23 +0000 2026,866953267,,Cardi B,37093310,False,0,709,0,,0,[],False,True
