id,keyword,user,user_name,text,created_at,likes,retweets,replies,source
2029708787876020576,offensive,CNN,CNN,"Everyone is watching to see whether Kurdish fighters will launch a ground offensive into western Iran.

So, who are the Kurds?

Read more: https://t.co/mxyHmh3cIZ https://t.co/N6DASJQS6F",Fri Mar 06 00:00:59 +0000 2026,2720,664,674,cancellation_search
2029939019694620963,offensive,TheBuckeyeNut,The Buckeye Nut,"Former Pittsburgh Steelers offensive line assistant Mateo Kambui is heading to Columbus to reunite with Arthur Smith.

It’s another addition bringing valuable NFL experience to the offensive line room.",Fri Mar 06 15:15:51 +0000 2026,390,16,2,cancellation_search
2029696203223347224,offensive,MontanaGrizFB,Montana Griz Football,"Griz great @daltonsneed returns to Missoula as an offensive assistant 👏

📰 https://t.co/cNAGsNJRhK

#GoGriz x #TheFamilyYouChoose https://t.co/fhlug0Gx85",Thu Mar 05 23:10:59 +0000 2026,277,21,16,cancellation_search
2029572960642637955,offensive,tracegirouard48,Trizzy Trace,We’re drafting another offensive lineman aren’t we…,Thu Mar 05 15:01:16 +0000 2026,162,2,33,cancellation_search
1041401463745011713,offensive,iamcardib,Cardi B,It's come to my attention that there have been offensive posts made on what used to be my Facebook page. For the past year and a half a FORMER team member has been the only one with access to the account.,Sun Sep 16 19:00:31 +0000 2018,48643,4610,2115,cancellation_search
2029962669097095494,offensive,TitleTalkTCL,TCL,"Random picture of the day:

Jabar Gaffney hauls in a TD pass from Tom Brady on New England's final Offensive play of the game against the Baltimore Ravens in 2007 to help the Patriots reach a 12-0 record. https://t.co/GO6HysDfP2",Fri Mar 06 16:49:49 +0000 2026,259,16,6,cancellation_search
2028545794320592986,offensive,LizaRosen0000,Liza Rosen,"https://t.co/Gbxtz9PkHU
She wanted to be nice and welcoming to the Muslims flooding her hometown. She even bought a book about their Sharia culture and laws to avoid being rude or offensive.

Watch her outrage when she discovers what these Muslim migrants seek to impose on her",Mon Mar 02 18:59:40 +0000 2026,3259,1304,68,cancellation_search
2030157267945877924,offensive,LukaUpdates,Luka Updates,"Luka offensive game is obviously impressive, but his defensive game has improved lately. Just watch games 👀 https://t.co/F44JjKRqLC",Sat Mar 07 05:43:05 +0000 2026,256,27,2,cancellation_search
2029585621413490774,offensive,SirGlavan_,Jayden™,I would really want to know who looked at the middle finger and said damn this shit looks offensive😂,Thu Mar 05 15:51:34 +0000 2026,190,26,4,cancellation_search
2029702613982146901,offensive,Hoops_Companion,Hoops Companion 🏀 Resources for Coaches,"SCORE - A simple framework for building your offensive identity 

Comment SCORE to get more info on the framework, a fillable Google Doc worksheet, and access to the HC3 on Skool community! https://t.co/En2sDGjLWz",Thu Mar 05 23:36:27 +0000 2026,108,9,45,cancellation_search
2029651496267125094,offensive,rarerookies,Rare Rookies,"Top Offensive Ratings for Kentucky guards since 2008 via Torvik. 

Collin Chandler at #7 and Denzel Aberdeen at #12. https://t.co/uaooOEES5B",Thu Mar 05 20:13:20 +0000 2026,169,6,6,cancellation_search
2029952618588418483,offensive,TopTierND,Top Tier Notre Dame,Throwback to when Notre Dame led 21-0 without running a single offensive snap https://t.co/W1y0wzmEEO,Fri Mar 06 16:09:53 +0000 2026,668,32,9,cancellation_search
2029268323217682437,offensive,cnni,CNN International,"CNN's Clarissa Ward spoke with a senior Kurdish Regional Government official in Erbil, Iraq, who said they are '""really frightened"" about possible retaliatory strikes by Tehran, if their territory is used as a launch pad for a potential ground offensive into Western Iran.

Read https://t.co/C2PgXeKKpx",Wed Mar 04 18:50:44 +0000 2026,341,117,104,cancellation_search
