id,user,user_name,text,created_at,likes,retweets,replies
2025417840069623822,iamcardib,Cardi B,"RT @RogersArena: VANCOUVER = SOLD OUT 🚨

The Little Miss Drama Tour with @iamCardiB has officially packed Rogers Arena tonight. https://t.c…",Sun Feb 22 03:50:18 +0000 2026,0,415,0
2025387012077863412,iamcardib,Cardi B,You know what ? HELL YEEAAAAA !!!!,Sun Feb 22 01:47:48 +0000 2026,31585,2065,326
2025247109436334161,iamcardib,Cardi B,"Five shows back to back!! Listen, I’m being humble about it… don’t let me get on my cocky shi. Let’s just accept it!! It what it is https://t.co/QEKNOrn5pf",Sat Feb 21 16:31:52 +0000 2026,25947,2303,893
2025031818580312341,iamcardib,Cardi B,RT @BardiUpdatess: Live Nation has made an official statement confirming Cardi B has SOLD OUT her first five shows on the #LittleMissDramaT…,Sat Feb 21 02:16:23 +0000 2026,0,709,0
2025011786341105878,iamcardib,Cardi B,"RT @itsKenBarbie: PORTLAND, OR… we were not familiar with your game. Definitely may have been the loudest crowd yet! Vancouver, BC… you’re…",Sat Feb 21 00:56:47 +0000 2026,0,338,0
2024878141622104324,iamcardib,Cardi B,Five sold out shows back to back… packed to the brim!! Vancouver y’all better not break my streak. See y’all tomorrow!!! For now… where the Tim Horton’s at???,Fri Feb 20 16:05:44 +0000 2026,48229,2601,1050
2024878114879549908,iamcardib,Cardi B,"RT @barzfanback: “…Bitch can't do it like me, Woke up and I'm still in the lead. I know these hoes is mad It's time for hoes to gag…” - Car…",Fri Feb 20 16:05:37 +0000 2026,0,173,0
2024739269064216641,iamcardib,Cardi B,I’m sorry Vegas yall kinda lost …Portland went too too crazy,Fri Feb 20 06:53:54 +0000 2026,9645,464,263
2024692410324799988,iamcardib,Cardi B,"RT @BardiUpdatess: Cardi B’s Portland show tonight is officially SOLD OUT!

All dates on the #LittleMissDramaTour have sold out so far. htt…",Fri Feb 20 03:47:42 +0000 2026,0,291,0
2024594591199142292,iamcardib,Cardi B,Yea https://t.co/l7DfGr3nP6,Thu Feb 19 21:19:00 +0000 2026,66703,2243,675
2024585414804460017,iamcardib,Cardi B,"Sister am
I messy ? https://t.co/qxw7a0rEd0",Thu Feb 19 20:42:32 +0000 2026,24731,1049,698
2024389331545436520,iamcardib,Cardi B,RT @queen_fan0: I’M screaming !😭 @iamcardib https://t.co/gobe9Q0GfH,Thu Feb 19 07:43:22 +0000 2026,0,285,0
2024221313557045652,iamcardib,Cardi B,"RT @itsKenBarbie: Los Angeles had everybody OUTSIDE… is your city up next on the #LittleMissDramaTour? 

🎟️ 🔗: https://t.co/COYPajycDT http…",Wed Feb 18 20:35:44 +0000 2026,0,371,0
2024000450920431850,iamcardib,Cardi B,"RT @thekiaforum: CARDI B.
LIVE IN LOS ANGELES FOR HER FIRST HEADLINING ARENA TOUR EVER.
KIA FORUM.
TWO NIGHTS.
SOLD OUT.

(📸: @TimothyNorri…",Wed Feb 18 05:58:06 +0000 2026,0,541,0
2023996563396145179,iamcardib,Cardi B,RT @DEVILKNJ94: no words  https://t.co/RUAkiDsgt7,Wed Feb 18 05:42:39 +0000 2026,0,1489,0
2023766754024206419,iamcardib,Cardi B,Lmaoooo this was me after to 😭😭😭,Tue Feb 17 14:29:28 +0000 2026,19446,1248,394
2023728228767051928,iamcardib,Cardi B,RT @stuncalis: KEHLANI NOW TYLA? Cardi B brings out Tyla for night 2 of her sold-out LA show…. she also let Tyla perform her hit song “CHAN…,Tue Feb 17 11:56:23 +0000 2026,0,4341,0
2023728201864786301,iamcardib,Cardi B,RT @newsscardi: Kehlani performing her Grammy winning hit song “Folded” tonight at Cardi B’s sold out concert in Los Angeles. 🥹❤️ https://t…,Tue Feb 17 11:56:17 +0000 2026,0,1183,0
2023597555481743456,iamcardib,Cardi B,RT @EmLen_: Raise ur hand if you saw Cardi flying 🦋🙋🏻‍♀️ https://t.co/PUObwVZT76,Tue Feb 17 03:17:08 +0000 2026,0,430,0
2023506553597554990,iamcardib,Cardi B,RT @bardiinnarari: this part here&gt;&gt;&gt; https://t.co/tmvnlPgioB,Mon Feb 16 21:15:31 +0000 2026,0,245,0
2023412868692193534,iamcardib,Cardi B,RT @itsKenBarbie: CAUGHT IN THE DRAMA? Make it known with the official Little Miss Drama Tour capsule collection AVAILABLE NOW 💕 https://t.…,Mon Feb 16 15:03:15 +0000 2026,0,210,0
2023358424088707207,iamcardib,Cardi B,RT @itsSeanBankhead: 💥💥💥💥💥💥 @iamcardib https://t.co/mtH9hVwSWA,Mon Feb 16 11:26:55 +0000 2026,0,546,0
2023291184240836797,iamcardib,Cardi B,RT @cardibnet: Cardi B moving it like water 😮‍💨 #LittleMissDramaTour https://t.co/pDU43m3RH4,Mon Feb 16 06:59:43 +0000 2026,0,1108,0
2023211572219498562,iamcardib,Cardi B,It’s time for hoes to GAG !,Mon Feb 16 01:43:22 +0000 2026,68140,4790,839
2023211465172529541,iamcardib,Cardi B,"RT @BardiUpdatess: The Kia Forum has officially announced Cardi B has SOLD OUT both of her #LittleMissDramaTour shows at the arena! 

She i…",Mon Feb 16 01:42:57 +0000 2026,0,630,0
2023120309168304530,iamcardib,Cardi B,"RT @thekiaforum: LA, we’re up! 💋 Night 1 of 2 begins tonight! @iamcardib

💄 SUNDAY SHOW INFO 💄
TERRACE: 6PM
DOORS: 7:30PM
SHOW: 8PM https:/…",Sun Feb 15 19:40:44 +0000 2026,0,246,0
2022745960552837611,iamcardib,Cardi B,I see Kulture quoting this in 15 years,Sat Feb 14 18:53:12 +0000 2026,219559,13669,967
2022634180291760138,iamcardib,Cardi B,Can someone put a community note on this ? This video is clearly Ai .,Sat Feb 14 11:29:01 +0000 2026,369568,21432,4160
2022568200563728847,iamcardib,Cardi B,I planned this https://t.co/fPx3bSOWcy,Sat Feb 14 07:06:51 +0000 2026,158825,12406,1376
2022508032610177225,iamcardib,Cardi B,"RT @TMobileArena: SOLD OUT 💋✨
Vegas understood the assignment!

@iamcardib | #LittleMissDramaTour https://t.co/o7vSzQQU1J",Sat Feb 14 03:07:46 +0000 2026,0,466,0
2022452637082509364,iamcardib,Cardi B,RT @itsKenBarbie: LISTEN TO THE DRAMA 🎵| Both Apple Music and Spotify now have official playlists featuring the setlist for the #LittleMiss…,Fri Feb 13 23:27:38 +0000 2026,0,323,0
2022449397985087968,iamcardib,Cardi B,RT @FUCCl: this is gaggy. https://t.co/0ATnwVTuyq,Fri Feb 13 23:14:46 +0000 2026,0,265,0
2022414340268396647,iamcardib,Cardi B,RT @Vegas: It's PRIMETIME @iamcardib #LittleMissDrama,Fri Feb 13 20:55:28 +0000 2026,0,342,0
2022350465896448482,iamcardib,Cardi B,"RT @cj_bria: I don’t think yall understand what this transition does to me. Like, I wanna cry! It’s so good! 🥹 https://t.co/rFL1U2JH8W",Fri Feb 13 16:41:39 +0000 2026,0,1436,0
2022059986889978332,iamcardib,Cardi B,If we talking about drugs let’s talk about Epstein and friends drugging underage girls to rape them. Why yall don’t wanna talk about the Epstein files?,Thu Feb 12 21:27:23 +0000 2026,706389,104845,11142
2021959647536754724,iamcardib,Cardi B,"RT @beyoncegarden: “if ICE come in here we gone JUMP they assess, they ain’t taking MY fans BVTCH🙂‍↔️🙂‍↕️” OH EXACTLY CARDI B LMFAOOO😭😭😭 ht…",Thu Feb 12 14:48:40 +0000 2026,0,17756,0
2021876762737881531,iamcardib,Cardi B,RT @BardisMedia: Cardi B ate this.🙂‍↕️#LittleMissDramaTour https://t.co/ueBwVnh5M2,Thu Feb 12 09:19:19 +0000 2026,0,654,0
2021753916795363612,iamcardib,Cardi B,Major hair. Major era. Coming soon 💚 https://t.co/Wq9H1MECCX,Thu Feb 12 01:11:10 +0000 2026,47136,4209,905
2021715595344195684,iamcardib,Cardi B,RT @SunnyBanks_: Bardi Gang so creative. This is too cute!! https://t.co/DFIv6TOxA6,Wed Feb 11 22:38:54 +0000 2026,0,702,0
2021321956981608900,iamcardib,Cardi B,"RT @itsKenBarbie: That’s why I love TOMORROW. 😌💃 The Little Miss Drama tour officially kicks off in just one more day from Palm Springs, CA…",Tue Feb 10 20:34:43 +0000 2026,0,424,0
2021018689332826623,iamcardib,Cardi B,RT @BardiUpdatess: Cardi B with her brand new 41mm Rainbow Audemars Piguet watch flown in by Benny the Jeweler. 🔥 https://t.co/pvMHRWsj5C,Tue Feb 10 00:29:38 +0000 2026,0,756,0
2020394219962278125,iamcardib,Cardi B,RT @SunnyBanks_: Cardi 😍😍😍 https://t.co/aawoAIrIbp,Sun Feb 08 07:08:13 +0000 2026,0,256,0
2020301632131723415,iamcardib,Cardi B,"RT @CardiAllAccess: Just popping out, just looking fine 😍 https://t.co/MoDkE01dY8",Sun Feb 08 01:00:19 +0000 2026,0,475,0
2019511811419377770,iamcardib,Cardi B,"RT @itsKenBarbie: The Little Miss Drama tour is just 6 days away 🥹

🔗: https://t.co/COYPajyKtr https://t.co/rmzSL1EZlO",Thu Feb 05 20:41:51 +0000 2026,0,329,0
